step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
579,0.15302,0.98077,,
580,0.03877,1.0,,
581,0.08697,0.96552,,
582,0.23612,0.9375,,
583,0.23655,0.94231,,
584,0.13509,0.98077,,
585,0.08952,0.98148,,
586,1.53302,0.5,,
587,0.029,1.0,,
588,0.02992,1.0,,
589,0.00057,1.0,,
590,0.00113,1.0,,
591,0.01213,1.0,,
592,0.00086,1.0,,
593,0.03313,0.98039,,
594,0.27518,0.93846,,
595,0.41798,0.91304,,
596,0.03614,0.98276,,
597,0.11491,0.96552,,
598,0.00234,1.0,,
599,0.02671,0.98413,,
600,0.01757,1.0,,
601,0.00062,1.0,,
602,0.06302,0.96552,,
603,0.03734,0.98148,,
